t,x,y,z,qw,qx,qy,qz,gripper_trigger
1.24998,-0.0634791,-0.00168193,0.180414,0.506098,-0.506139,-0.465283,0.520769,0
1.25504,-0.0634257,-0.00168279,0.180424,0.506098,-0.506139,-0.465283,0.520769,0
1.25998,-0.0634257,-0.00168279,0.180424,0.505764,-0.506437,-0.46496,0.521092,0
1.265,-0.0633723,-0.00168365,0.180435,0.506098,-0.506139,-0.465283,0.520769,0
1.27004,-0.0633189,-0.0016845,0.180445,0.506098,-0.506139,-0.465283,0.520769,0
1.27497,-0.0633189,-0.0016845,0.180445,0.50537,-0.506214,-0.465216,0.521462,0
1.28005,-0.0632655,-0.00168536,0.180456,0.505703,-0.505916,-0.46554,0.521139,0
1.28507,-0.0632121,-0.00168621,0.180466,0.505703,-0.505916,-0.46554,0.521139,0
1.28998,-0.0632121,-0.00168621,0.180466,0.505703,-0.505916,-0.46554,0.521139,0
1.29499,-0.0631587,-0.00168707,0.180477,0.505703,-0.505916,-0.46554,0.521139,0
1.29999,-0.0631587,-0.00168707,0.180477,0.505703,-0.505916,-0.46554,0.521139,0
1.30502,-0.0631587,-0.00168707,0.180477,0.505703,-0.505916,-0.46554,0.521139,0
1.31001,-0.0631054,-0.00168793,0.180487,0.505703,-0.505916,-0.46554,0.521139,0
1.31499,-0.0631054,-0.00168793,0.180487,0.505703,-0.505916,-0.46554,0.521139,0
1.32002,-0.0630519,-0.00168878,0.180497,0.50537,-0.506214,-0.465216,0.521462,0
1.32497,-0.0630519,-0.00168878,0.180497,0.505703,-0.505916,-0.46554,0.521139,0
1.32997,-0.0630519,-0.00168878,0.180497,0.505703,-0.505916,-0.46554,0.521139,0
1.33506,-0.0630519,-0.00168878,0.180497,0.505703,-0.505916,-0.46554,0.521139,0
1.34006,-0.0630519,-0.00168878,0.180497,0.505703,-0.505916,-0.46554,0.521139,0
1.34506,-0.0630519,-0.00168878,0.180497,0.504974,-0.505991,-0.465473,0.521832,0
1.35003,-0.0630519,-0.00168878,0.180497,0.505308,-0.505694,-0.465796,0.521509,0
1.35509,-0.0630519,-0.00168878,0.180497,0.505308,-0.505694,-0.465796,0.521509,0
1.36003,-0.0630519,-0.00168878,0.180497,0.505308,-0.505694,-0.465796,0.521509,0
1.36509,-0.0630519,-0.00168878,0.180497,0.505308,-0.505694,-0.465796,0.521509,0
1.37004,-0.0630519,-0.00168878,0.180497,0.504913,-0.50547,-0.466052,0.52188,0
1.375,-0.0630519,-0.00168878,0.180497,0.504913,-0.50547,-0.466052,0.52188,0
1.37998,-0.0630519,-0.00168878,0.180497,0.504913,-0.50547,-0.466052,0.52188,0
1.38503,-0.0630519,-0.00168878,0.180497,0.504913,-0.50547,-0.466052,0.52188,0
1.38998,-0.0630519,-0.00168878,0.180497,0.504877,-0.50542,-0.465422,0.522524,0
1.39498,-0.0630519,-0.00168878,0.180497,0.504517,-0.505247,-0.466308,0.52225,0
1.39998,-0.0629985,-0.00168964,0.180508,0.504517,-0.505247,-0.466308,0.52225,0
1.40499,-0.0629985,-0.00168964,0.180508,0.504816,-0.504899,-0.466001,0.522572,0
1.40999,-0.0629985,-0.00168964,0.180508,0.504816,-0.504899,-0.466001,0.522572,0
1.41498,-0.0629985,-0.00168964,0.180508,0.504816,-0.504899,-0.466001,0.522572,0
1.41998,-0.0629985,-0.00168964,0.180508,0.50442,-0.504676,-0.466257,0.522941,0
1.42498,-0.0629985,-0.00168964,0.180508,0.50442,-0.504676,-0.466257,0.522941,0
1.42999,-0.0629985,-0.00168964,0.180508,0.50442,-0.504676,-0.466257,0.522941,0
1.43501,-0.0629985,-0.00168964,0.180508,0.50442,-0.504676,-0.466257,0.522941,0
